	type	p	R0	SS transmission ratio	SS fraction	infectious period
0	real	0.461260252660816	2.64920520837786	5.822534363555031	0.082393652494383	8.652653587686808
0	FFNN-SS (predict huge trees, subtree-based)		2.8156665830307346	5.475855178277269	0.10270797086555196	8.864758100839355
0	CNN-CBLV (predict large trees, trained on large trees)		2.657824	6.245863	0.07698032	8.93505383621319
0	CNN-CBLV (predict huge trees, subtree-based)		2.9399379883986185	5.65258681719706	0.11167484928172784	9.289955793605936
0	FFNN-SS (predict huge trees, trained on large trees)		1.7579181000000002	11.638288000000001	0.098296575	7.05764674615204
1	real	0.39608983330828795	4.6019663634280406	6.82789745304923	0.178236144704803	2.5062917444152
1	FFNN-SS (predict huge trees, subtree-based)		4.484523541885566	6.384957220682857	0.13675413661475358	2.4161798017331426
1	CNN-CBLV (predict large trees, trained on large trees)		3.6664032999999994	5.128317	0.13277888	2.25079593124219
1	FFNN-SS (predict huge trees, trained on large trees)		2.4710226000000004	13.513913	0.06826674	1.3520174891974899
1	CNN-CBLV (predict huge trees, subtree-based)		4.356194178752279	6.5934156476135986	0.13803198120883242	2.3635904771433136
2	CNN-CBLV (predict large trees, trained on large trees)		4.014543499999999	9.504201	0.15003058	1.62239759349204
2	FFNN-SS (predict huge trees, subtree-based)		4.081823501993496	8.253178859404809	0.1533927330058064	1.68805631747013
2	FFNN-SS (predict huge trees, trained on large trees)		2.8193642999999997	12.872817	0.08142885	1.04845368436126
2	real	0.877609103627505	4.10961469746316	8.89267147319211	0.17877958433958702	1.7534045983760402
2	CNN-CBLV (predict huge trees, subtree-based)		4.078823829871654	8.29009353664239	0.15922643266320366	1.6588826393327996
3	CNN-CBLV (predict huge trees, subtree-based)		1.9437921541838592	9.05090548534357	0.12224770273602507	2.8652618741014613
3	FFNN-SS (predict huge trees, trained on large trees)		2.1565332	17.40815	0.24333033	3.3809600416502796
3	CNN-CBLV (predict large trees, trained on large trees)		1.7548118000000001	8.347116	0.101659745	2.9765981924432303
3	real	0.7122768696249259	1.99478137214799	9.73082294556729	0.103991949893642	2.9981952191038
3	FFNN-SS (predict huge trees, subtree-based)		1.9093470832920802	8.975688408762784	0.12451006990004004	2.844213633312925
4	FFNN-SS (predict huge trees, trained on large trees)		2.572374	13.234847	0.12431493	5.8384056103678
4	FFNN-SS (predict huge trees, subtree-based)		3.606138838797893	4.8151704078725945	0.12693428963083148	7.599708701131012
4	CNN-CBLV (predict large trees, trained on large trees)		2.8163647999999997	4.9773073	0.110188484	6.717438135779459
4	CNN-CBLV (predict huge trees, subtree-based)		3.569605951023917	4.915654747506492	0.13023695974608093	7.402865129522449
4	real	0.77953914128421	3.36079942893399	4.48078348861387	0.173013541942318	7.2660109795361505
5	FFNN-SS (predict huge trees, trained on large trees)		2.8238453999999997	10.954417	0.09630603	4.14585754315026
5	CNN-CBLV (predict huge trees, subtree-based)		4.269611956360074	6.5846180536433945	0.08333879007874212	6.7371542529551425
5	FFNN-SS (predict huge trees, subtree-based)		4.323318771878212	6.542851818043295	0.07616995844294973	6.720609166991676
5	real	0.395018424187233	4.14413000439586	6.9330793057453	0.06537957116224401	6.73838735110823
5	CNN-CBLV (predict large trees, trained on large trees)		4.191569	7.818757499999999	0.079999655	7.14952502754088
6	FFNN-SS (predict huge trees, subtree-based)		3.4398974389832717	6.0710433322459485	0.08141320561686792	4.384025090835372
6	CNN-CBLV (predict huge trees, subtree-based)		3.41173507832469	6.303490924616089	0.08019348984232527	4.365212747963366
6	real	0.7134153007803079	3.2712245477381803	6.85197260761062	0.053352628031815	4.20015684375498
6	FFNN-SS (predict huge trees, trained on large trees)		2.0806835	13.446309	0.0947549	2.9759404203824706
6	CNN-CBLV (predict large trees, trained on large trees)		3.202271	6.4651175	0.07190579	4.25316034250415
7	CNN-CBLV (predict large trees, trained on large trees)		3.6813019999999996	8.251633	0.16906697	3.5473482336675
7	FFNN-SS (predict huge trees, subtree-based)		3.8108491137648817	7.65514162063106	0.1401527040933556	3.6557420599788526
7	CNN-CBLV (predict huge trees, subtree-based)		3.896691159932293	7.607313109940682	0.15185865790256153	3.7580366727995744
7	real	0.289480549493149	3.81633297808587	9.38669596296293	0.19333856681533	3.76116531604641
7	FFNN-SS (predict huge trees, trained on large trees)		1.4041428999999999	15.581608	0.04174029	1.38754461203422
8	real	0.7329274954672641	3.88456593619075	6.453557544919809	0.13902806815132002	3.34490124168293
8	CNN-CBLV (predict large trees, trained on large trees)		3.6141337999999994	6.002508	0.158084	3.28478524275096
8	CNN-CBLV (predict huge trees, subtree-based)		3.765904065697317	6.921475524074317	0.12338763792095972	3.1285005702568025
8	FFNN-SS (predict huge trees, subtree-based)		3.931660161964343	6.59606438619449	0.1119473924110975	3.30171853586738
8	FFNN-SS (predict huge trees, trained on large trees)		1.7609099999999998	15.80289	0.14832011	1.8137425660894497
9	FFNN-SS (predict huge trees, trained on large trees)		1.2947087	16.052395	0.18208379	1.55034447876234
9	CNN-CBLV (predict large trees, trained on large trees)		1.5437583000000001	8.731164	0.11347595	1.32390846331162
9	real	0.23945342019921803	1.51209426689296	8.87361015512617	0.10596317840989301	1.28886110313017
9	FFNN-SS (predict huge trees, subtree-based)		1.5188979642926708	8.511239384035866	0.10508852428856584	1.2735487179609497
9	CNN-CBLV (predict huge trees, subtree-based)		1.550552722977978	8.361303200537556	0.10576862195914397	1.308516236184663
10	CNN-CBLV (predict large trees, trained on large trees)		4.384904	5.051307700000001	0.12123847	6.263303172372741
10	real	0.31019684538667197	3.8140502989170098	3.9937440906759503	0.079079696125071	5.340583649480481
10	FFNN-SS (predict huge trees, trained on large trees)		3.6168025000000004	11.722522	0.08187489999999999	4.389272235127541
10	CNN-CBLV (predict huge trees, subtree-based)		3.823518842620518	4.2475351027708665	0.0878468967970719	5.35899606955889
10	FFNN-SS (predict huge trees, subtree-based)		3.912836447600821	3.8394083313300698	0.08603674837516521	5.410315251117422
11	CNN-CBLV (predict large trees, trained on large trees)		3.0782933	5.234503	0.13555446	5.79805446482551
11	FFNN-SS (predict huge trees, subtree-based)		3.0390302045185726	5.804755176980716	0.11233103010859766	5.6793546260858445
11	CNN-CBLV (predict huge trees, subtree-based)		3.060242883510872	6.1091042396496	0.11950799757965852	5.8035132268440925
11	FFNN-SS (predict huge trees, trained on large trees)		1.6555952	14.357031	0.056821845	2.69004092734398
11	real	0.23467890343741196	3.16244482543827	5.60870000073314	0.14079103914262803	5.95621859670767
12	FFNN-SS (predict huge trees, trained on large trees)		1.6615267	14.582056	0.2338022	3.0910675515468102
12	CNN-CBLV (predict huge trees, subtree-based)		2.2788011878558825	5.71892630133442	0.08504356766768821	3.299002941349727
12	FFNN-SS (predict huge trees, subtree-based)		2.285943783325615	5.601406227791129	0.07596928992545905	3.2960387953065022
12	CNN-CBLV (predict large trees, trained on large trees)		2.0753044999999997	6.1412873	0.08212173	3.29546943964859
12	real	0.723426919554467	2.1459970706478404	6.19906152788082	0.061143501277811	3.1850288626548
13	FFNN-SS (predict huge trees, subtree-based)		3.4953259272664825	8.651893314050168	0.1432216313712328	4.383412242599233
13	FFNN-SS (predict huge trees, trained on large trees)		2.158019	14.538492999999999	0.18198547	3.14881206237303
13	real	0.836990229982422	3.572793344874	9.53789219225014	0.18611401551374301	4.4586869621996
13	CNN-CBLV (predict large trees, trained on large trees)		3.002296	8.102988999999999	0.17017934	3.63846741742243
13	CNN-CBLV (predict huge trees, subtree-based)		3.4033579913839023	8.66583386128083	0.15047842742142986	4.1680986136658795
14	real	0.39395107704374	4.69091099583	8.85366664386682	0.118599950921005	1.7449353898081599
14	FFNN-SS (predict huge trees, trained on large trees)		1.425453	16.02261	0.035707407000000004	0.725388519105266
14	CNN-CBLV (predict large trees, trained on large trees)		4.5085296999999995	6.903115299999999	0.10105406	1.64290156266246
14	CNN-CBLV (predict huge trees, subtree-based)		4.300136349535169	7.886145253707553	0.10978493727078756	1.5857932777131425
14	FFNN-SS (predict huge trees, subtree-based)		4.310830490308042	7.945266026880628	0.11151024358515292	1.5858172747720054
15	real	0.199057637812149	4.55721578864157	5.3930226527064695	0.13070163337108	4.01077214044806
15	FFNN-SS (predict huge trees, trained on large trees)		2.7987082	8.994886	0.11559772	2.67380126271808
15	FFNN-SS (predict huge trees, subtree-based)		4.297982410313452	5.496867856073487	0.10286086475617333	3.7666448992227743
15	CNN-CBLV (predict large trees, trained on large trees)		4.583610500000001	5.220472	0.10391921	3.8400870012685098
15	CNN-CBLV (predict huge trees, subtree-based)		4.288960926790127	5.558241897912073	0.11080556387201088	3.8287971527966977
16	CNN-CBLV (predict large trees, trained on large trees)		3.9027220000000002	8.79495	0.07926828	4.32327501644669
16	FFNN-SS (predict huge trees, trained on large trees)		2.3881052000000005	12.955836	0.060533904000000006	1.5281698493434297
16	FFNN-SS (predict huge trees, subtree-based)		3.3948055033753537	7.700013962860132	0.09019601220124096	3.7318366789416513
16	CNN-CBLV (predict huge trees, subtree-based)		3.4500464927255683	7.707448052782411	0.10099617895679464	3.791933432791018
16	real	0.20115537022704397	3.37924611946832	7.58741490743356	0.088316682865338	3.6677631305888503
17	FFNN-SS (predict huge trees, trained on large trees)		3.9387836000000003	49.27505	0.38406837	29.0320921024055
17	real	0.7028525340141579	1.37316949441976	7.81693191750988	0.08958738627331199	6.80913770444925
17	CNN-CBLV (predict large trees, trained on large trees)		1.4941633	6.2257524	0.11417726	6.955109856390379
17	CNN-CBLV (predict huge trees, subtree-based)		1.3920257868538493	7.6194843813658455	0.09626495702191908	6.883815039998684
17	FFNN-SS (predict huge trees, subtree-based)		1.3820720336538488	7.430116310503218	0.09865556441836756	6.796083755112438
18	CNN-CBLV (predict large trees, trained on large trees)		1.8306699	5.953167	0.13664344	3.6244808997148596
