	type	p	R0	infectious period
0	real	0.7138461841898159	1.54435149851198	5.98562153347266
0	FFNN-SS (predict huge trees, subtree-based)		1.5188680656217357	5.977675161956934
0	CNN-CBLV (predict large trees, trained on large trees)		1.5709763	6.41152712558382
0	CNN-CBLV (predict huge trees, subtree-based)		1.5399214553236693	5.979614380030227
0	FFNN-SS (predict huge trees, trained on large trees)		1.9714633999999998	9.21110007461318
1	real	0.22697144201456196	3.06695464510737	4.9977009239441
1	FFNN-SS (predict huge trees, subtree-based)		3.0890608057842277	5.037344135360611
1	CNN-CBLV (predict large trees, trained on large trees)		2.948427	4.752855761790269
1	FFNN-SS (predict huge trees, trained on large trees)		7.647211599999999	14.5806332814008
1	CNN-CBLV (predict huge trees, subtree-based)		3.0600730428319216	5.012060806149968
2	CNN-CBLV (predict large trees, trained on large trees)		2.6219783	1.0843858305777099
2	FFNN-SS (predict huge trees, subtree-based)		3.0573123418019414	1.1752758578078193
2	FFNN-SS (predict huge trees, trained on large trees)		2.3727102	1.7336604004635199
2	real	0.946400661134871	3.10323762055771	1.17698369812521
2	CNN-CBLV (predict huge trees, subtree-based)		3.116942695047192	1.1853411108630478
3	CNN-CBLV (predict huge trees, subtree-based)		1.8557999172965065	3.1268279291042664
3	FFNN-SS (predict huge trees, trained on large trees)		1.5250834999999998	3.8899273475021703
3	CNN-CBLV (predict large trees, trained on large trees)		1.5679085	2.8692907229510296
3	real	0.7027744560119599	1.79764495961122	3.02744743372153
3	FFNN-SS (predict huge trees, subtree-based)		1.8325342486567884	3.113096062219916
4	FFNN-SS (predict huge trees, trained on large trees)		6.408567	2.2162159282753997
4	FFNN-SS (predict huge trees, subtree-based)		4.423656239990773	1.4013789039792983
4	CNN-CBLV (predict large trees, trained on large trees)		4.2552614	1.39157986851662
4	CNN-CBLV (predict huge trees, subtree-based)		4.3877981418988234	1.399853001409305
4	real	0.8551867983111658	4.62653459521771	1.43961511838038
5	FFNN-SS (predict huge trees, trained on large trees)		1.4741684	4.85253498454212
5	CNN-CBLV (predict huge trees, subtree-based)		1.0908945065155842	3.7220891975342454
5	FFNN-SS (predict huge trees, subtree-based)		1.0828008043068	3.743220332194984
5	real	0.500478173783044	1.04783876754113	3.64593883004359
5	CNN-CBLV (predict large trees, trained on large trees)		1.0467098	3.46041999615169
6	FFNN-SS (predict huge trees, subtree-based)		4.185702854072947	7.69517755161979
6	CNN-CBLV (predict huge trees, subtree-based)		4.1013666993507005	7.628250738890832
6	real	0.11200220519295	4.26372140933212	7.92791014966463
6	FFNN-SS (predict huge trees, trained on large trees)		7.002014	25.3574901049619
6	CNN-CBLV (predict large trees, trained on large trees)		4.036773	7.559444845364769
7	CNN-CBLV (predict large trees, trained on large trees)		2.9466112	9.01053088952692
7	FFNN-SS (predict huge trees, subtree-based)		2.4661878294376938	7.9312521578610715
7	CNN-CBLV (predict huge trees, subtree-based)		2.513540774008959	7.979471911088751
7	real	0.894192736598828	2.4553488060590203	7.84267265729429
7	FFNN-SS (predict huge trees, trained on large trees)		1.0150692	9.069321375278038
8	real	0.7425419161350458	3.2853732678734	5.368720855727121
8	CNN-CBLV (predict large trees, trained on large trees)		3.9043309999999996	6.224935583182499
8	CNN-CBLV (predict huge trees, subtree-based)		3.4346724991770303	5.59949502853652
8	FFNN-SS (predict huge trees, subtree-based)		3.4184493646354843	5.598066709880801
8	FFNN-SS (predict huge trees, trained on large trees)		3.5748186	7.3541182577245
9	FFNN-SS (predict huge trees, trained on large trees)		7.2880516	16.330201333839
9	CNN-CBLV (predict large trees, trained on large trees)		1.9040419999999998	1.6835677692784599
9	real	0.035152625079795996	2.09651107868451	1.9531236378509098
9	FFNN-SS (predict huge trees, subtree-based)		2.086440890647504	1.8647536733808387
9	CNN-CBLV (predict huge trees, subtree-based)		2.0779897552711697	1.8963930697401408
10	CNN-CBLV (predict large trees, trained on large trees)		4.340684400000001	7.69656110429519
10	real	0.085674551937519	4.6544535501597695	8.091749674660731
10	FFNN-SS (predict huge trees, trained on large trees)		6.154976400000001	25.412025843351103
10	CNN-CBLV (predict huge trees, subtree-based)		4.365217448642542	7.628865040992869
10	FFNN-SS (predict huge trees, subtree-based)		4.441712726524164	7.581659741083096
11	CNN-CBLV (predict large trees, trained on large trees)		2.78655	5.1375976829613
11	FFNN-SS (predict huge trees, subtree-based)		2.7396941293634685	5.305964756417051
11	CNN-CBLV (predict huge trees, subtree-based)		2.7459026012415744	5.316456443908392
11	FFNN-SS (predict huge trees, trained on large trees)		4.0060387	11.949911066558302
11	real	0.330380394322641	2.71538349821257	5.248183933235429
12	FFNN-SS (predict huge trees, trained on large trees)		5.333746400000001	9.911222742600538
12	CNN-CBLV (predict huge trees, subtree-based)		3.0606875423054483	4.280948231653079
12	FFNN-SS (predict huge trees, subtree-based)		3.072489225677788	4.27894470499165
12	CNN-CBLV (predict large trees, trained on large trees)		2.655378	4.080047966899991
12	real	0.283835707112732	3.00801185284366	4.2286713059046
13	FFNN-SS (predict huge trees, subtree-based)		2.865489312809308	3.0501412263411725
13	FFNN-SS (predict huge trees, trained on large trees)		3.024747	4.751497585922531
13	real	0.770280898065093	2.82341811177052	2.9836375136179503
13	CNN-CBLV (predict large trees, trained on large trees)		2.4583561	2.6858870882186
13	CNN-CBLV (predict huge trees, subtree-based)		2.883439461004221	3.0557984098198245
14	real	0.277224428901651	3.1416901516015	8.88796491689968
14	FFNN-SS (predict huge trees, trained on large trees)		7.266233000000001	23.0814708513881
14	CNN-CBLV (predict large trees, trained on large trees)		2.8105705000000003	7.927627955089929
14	CNN-CBLV (predict huge trees, subtree-based)		3.288465179021157	9.22825836875014
14	FFNN-SS (predict huge trees, subtree-based)		3.335207818694364	9.30657640107034
15	real	0.724292616287037	2.90017511883097	5.13370738677708
15	FFNN-SS (predict huge trees, trained on large trees)		3.3331117999999993	9.36442278186991
15	FFNN-SS (predict huge trees, subtree-based)		2.9731423217382726	5.233767643887658
15	CNN-CBLV (predict large trees, trained on large trees)		3.4821684	5.865884712343591
15	CNN-CBLV (predict huge trees, subtree-based)		2.9763343029433083	5.240815059670106
16	CNN-CBLV (predict large trees, trained on large trees)		4.0541267	8.80199291039237
16	FFNN-SS (predict huge trees, trained on large trees)		8.528836	18.6178607244199
16	FFNN-SS (predict huge trees, subtree-based)		3.9561783498220713	8.478276028519879
16	CNN-CBLV (predict huge trees, subtree-based)		3.8872135430777073	8.416304681849585
16	real	0.42216585186585603	4.04023486700329	8.61952730006907
17	FFNN-SS (predict huge trees, trained on large trees)		4.6881976	12.031265725660699
17	real	0.5995157126876539	3.81185795053204	8.6375685660167
17	CNN-CBLV (predict large trees, trained on large trees)		4.008145	9.226886490176518
17	CNN-CBLV (predict huge trees, subtree-based)		3.870721269304264	8.804281027862311
17	FFNN-SS (predict huge trees, subtree-based)		3.874081887872765	8.820163818752821
18	CNN-CBLV (predict large trees, trained on large trees)		4.2890644	4.0185938884512
18	FFNN-SS (predict huge trees, subtree-based)		4.089676989788928	3.7992112058289833
18	FFNN-SS (predict huge trees, trained on large trees)		4.52842	15.401249337639598
18	real	0.02338126874754	4.23464373229614	4.0365257759333195
18	CNN-CBLV (predict huge trees, subtree-based)		4.144048836477688	3.966793781802926
19	CNN-CBLV (predict huge trees, subtree-based)		3.829619190885594	8.640041432187543
19	real	0.100919852550092	4.03874323222435	9.034788024231789
19	FFNN-SS (predict huge trees, subtree-based)		3.915278431402241	8.689917174597335
19	FFNN-SS (predict huge trees, trained on large trees)		5.402188	20.6232851984552
19	CNN-CBLV (predict large trees, trained on large trees)		4.0015339999999995	8.970672496508051
20	real	0.896327762846888	2.8578838654817003	4.2138399249790695
20	FFNN-SS (predict huge trees, trained on large trees)		2.1822994	6.71055163044896
20	FFNN-SS (predict huge trees, subtree-based)		2.9144941360299748	4.293744683870946
20	CNN-CBLV (predict huge trees, subtree-based)		2.926055412697063	4.287498005811374
20	CNN-CBLV (predict large trees, trained on large trees)		2.5608169999999997	3.98194771428636
21	FFNN-SS (predict huge trees, trained on large trees)		4.558523	10.818511827555099
21	FFNN-SS (predict huge trees, subtree-based)		3.89653954454494	3.341013625874261
21	real	0.025286056003945	4.16137128684039	3.66448714258367
21	CNN-CBLV (predict huge trees, subtree-based)		3.8527697962107053	3.4194785073914398
21	CNN-CBLV (predict large trees, trained on large trees)		3.4348730000000005	2.97078838592709
22	CNN-CBLV (predict huge trees, subtree-based)		1.6348776862082046	4.873893799388443
22	FFNN-SS (predict huge trees, subtree-based)		1.6387018675468503	4.916943256829891
22	FFNN-SS (predict huge trees, trained on large trees)		1.8449109000000001	7.087794667130611
22	real	0.34934239144273	1.6322776948360198	4.93586505177383
22	CNN-CBLV (predict large trees, trained on large trees)		1.8080613999999997	5.3602692237194995
23	CNN-CBLV (predict huge trees, subtree-based)		2.6666824120035755	2.1745492326751705
23	FFNN-SS (predict huge trees, trained on large trees)		3.595532	4.65204014799363
23	CNN-CBLV (predict large trees, trained on large trees)		2.2160716000000003	1.9072929864534598
23	FFNN-SS (predict huge trees, subtree-based)		2.6340894651418494	2.156827678902642
23	real	0.46819180008157	2.58055722874208	2.12115057891996
24	CNN-CBLV (predict huge trees, subtree-based)		3.9219231765863682	9.213172747196936
24	FFNN-SS (predict huge trees, trained on large trees)		6.930599000000001	16.1796911184218
24	CNN-CBLV (predict large trees, trained on large trees)		4.209746400000001	9.20602754880052
24	real	0.44904631984354293	3.96710710757098	9.2242079063191
24	FFNN-SS (predict huge trees, subtree-based)		3.991009444024365	9.259904557093435
25	CNN-CBLV (predict large trees, trained on large trees)		1.3980813	3.5803599505985897
25	CNN-CBLV (predict huge trees, subtree-based)		1.6723442631304417	3.9579712269251313
25	real	0.606129942099629	1.6766384822713798	4.0188721562711605
25	FFNN-SS (predict huge trees, subtree-based)		1.6537273914765214	3.973574287842607
25	FFNN-SS (predict huge trees, trained on large trees)		1.5276263	5.315109726821429
26	CNN-CBLV (predict large trees, trained on large trees)		3.4645927000000003	6.291577583733879
26	CNN-CBLV (predict huge trees, subtree-based)		3.07596825787404	5.928098082952744
26	real	0.896669786783563	3.11210203160174	6.0008699028446
26	FFNN-SS (predict huge trees, subtree-based)		3.079628899730125	5.947232601310831
26	FFNN-SS (predict huge trees, trained on large trees)		2.5954576	7.689515123798269
27	FFNN-SS (predict huge trees, subtree-based)		2.1492373237944253	4.827441031080796
27	CNN-CBLV (predict huge trees, subtree-based)		2.183119009607568	4.862282277145401
27	FFNN-SS (predict huge trees, trained on large trees)		1.0456675	6.071913645738469
27	real	0.576818095823197	2.15941281293472	4.80800105395825
27	CNN-CBLV (predict large trees, trained on large trees)		2.0826208999999998	4.42899736451409
28	FFNN-SS (predict huge trees, subtree-based)		1.1755387070230192	3.6275696756016713
28	CNN-CBLV (predict large trees, trained on large trees)		1.1471303	3.3520935346834397
28	real	0.28504832324619706	1.18723425824681	3.6492965495323197
28	FFNN-SS (predict huge trees, trained on large trees)		2.5380472999999997	4.8627824831143
28	CNN-CBLV (predict huge trees, subtree-based)		1.1754003493432414	3.5686112094325133
29	FFNN-SS (predict huge trees, subtree-based)		1.3281821522288435	4.250746753486629
29	real	0.06158003295656401	1.31368884869009	4.17890301151514
29	CNN-CBLV (predict huge trees, subtree-based)		1.3253230365348652	4.176795914644093
29	CNN-CBLV (predict large trees, trained on large trees)		1.2220242000000001	3.60618963228336
29	FFNN-SS (predict huge trees, trained on large trees)		0.6843004	22.6749337350916
30	CNN-CBLV (predict huge trees, subtree-based)		2.614178396425191	6.21792193516319
30	FFNN-SS (predict huge trees, subtree-based)		2.6131220590725217	6.237190843018308
30	FFNN-SS (predict huge trees, trained on large trees)		1.90735	8.71174891565234
30	CNN-CBLV (predict large trees, trained on large trees)		2.2917697	5.69271020748176
30	real	0.7327236746184841	2.62861487930232	6.268100254640629
31	CNN-CBLV (predict huge trees, subtree-based)		2.6257165661161816	6.794252702988773
31	real	0.561534464496612	2.66412187436011	6.91953312444903
31	FFNN-SS (predict huge trees, trained on large trees)		3.0877689999999998	12.054870252296
31	FFNN-SS (predict huge trees, subtree-based)		2.6314920429450237	6.811249662115872
31	CNN-CBLV (predict large trees, trained on large trees)		2.5614288	6.461235593178349
32	real	0.9301284299808459	2.1264570444685598	7.252969156645991
32	FFNN-SS (predict huge trees, subtree-based)		2.1661190874046747	7.270978494019837
32	CNN-CBLV (predict huge trees, subtree-based)		2.1783408293494952	7.258045375024951
32	CNN-CBLV (predict large trees, trained on large trees)		1.9586058000000002	7.2579756571168605
32	FFNN-SS (predict huge trees, trained on large trees)		1.2692012	8.21411863014894
33	CNN-CBLV (predict huge trees, subtree-based)		1.6784608700644563	4.177520552279471
33	FFNN-SS (predict huge trees, trained on large trees)		1.0298196	7.87162682739272
33	CNN-CBLV (predict large trees, trained on large trees)		1.5948083	3.98558878730699
33	FFNN-SS (predict huge trees, subtree-based)		1.67086820532249	4.193174825748876
33	real	0.26093136025416896	1.64294519670258	4.10028789356258
34	CNN-CBLV (predict huge trees, subtree-based)		1.624647005818468	9.907052534229079
34	FFNN-SS (predict huge trees, subtree-based)		1.5967330092248049	9.852347256351091
34	CNN-CBLV (predict large trees, trained on large trees)		1.9071772	10.803103287366
34	real	0.7122368627725292	1.6072740677349198	9.743258526672
34	FFNN-SS (predict huge trees, trained on large trees)		1.6671593	12.561472697722499
35	real	0.6963256593316228	2.89840332646245	1.90236312740343
