	type	p	R0	infectious period	incubation time
0	real-subtrees	0.44732297990706804	2.3412952193888796	1.6475683414549502	1.36992889477116
0	CNN		2.1211965	1.50499366579465	1.3265337975160099
0	real	0.44732297990706804	2.3412952193888796	1.64756834145495	1.3699288947711599
0	FFNN		2.1211965	1.50499366579465	1.3265337975160099
0	FFNN-subtrees		2.3779843400101366	1.6480772430931192	1.3194513306936202
0	CNN-subtrees		2.3708613885438834	1.6324036318149804	1.3499836605808797
1	real	0.6225767763228239	3.3684089866500497	3.71345840136623	3.96239667724268
1	FFNN		3.2002650000000004	3.1515233274575603	4.3307140011560605
1	real-subtrees	0.6225767763228239	3.3684089866500497	3.71345840136623	3.96239667724268
1	CNN		3.2002650000000004	3.1515233274575603	4.3307140011560605
1	CNN-subtrees		3.3976898476962902	3.557357230153503	4.227249073802112
1	FFNN-subtrees		3.4242323319487715	3.5256309211876893	4.164562833939616
2	FFNN		4.487149700000001	8.68400171309773	34.4531462310742
2	real-subtrees	0.997036566631611	3.90961894078582	7.832292157729361	33.006439091525
2	CNN-subtrees		3.8644393128754317	7.9172060138164815	30.09106689158494
2	CNN		4.487149700000001	8.68400171309773	34.4531462310742
2	real	0.997036566631611	3.90961894078582	7.83229215772936	33.006439091525
2	FFNN-subtrees		3.8914234771315	7.917576157949804	30.512651445290583
3	real	0.8293398478248979	3.99018693635541	2.3660999627382098	8.305388994870441
3	real-subtrees	0.8293398478248979	3.9901869363554106	2.3660999627382098	8.305388994870441
3	CNN-subtrees		3.874314003336577	2.336611042144122	7.589073782840384
3	CNN		4.184746700000001	2.19902229232144	8.312243391927261
3	FFNN		4.184746700000001	2.19902229232144	8.312243391927261
3	FFNN-subtrees		3.929424469240408	2.3213828995578574	7.617131705514687
4	FFNN-subtrees		1.946694553498584	6.833666361655007	21.721011414097013
4	CNN		1.8918337	6.6191211097441895	23.4519652538249
4	CNN-subtrees		1.9502034568000937	7.332550165184622	21.1686884415014
4	FFNN		1.8918337	6.6191211097441895	23.4519652538249
4	real	0.6549452351128721	1.83993658224913	7.014782251317481	21.380250288025998
4	real-subtrees	0.6549452351128721	1.83993658224913	7.014782251317482	21.380250288025998
5	FFNN-subtrees		1.3838470029001513	3.876147204207863	1.7267234534558538
5	real-subtrees	0.4271495730639	1.3957654863295401	4.857964876447388	1.08224803459855
5	CNN-subtrees		1.3914125445375956	3.9695984968714018	1.7162882493359328
5	CNN		1.382581	4.41422234116167	1.42138331642254
5	FFNN		1.382581	4.41422234116167	1.42138331642254
5	real	0.4271495730639	1.3957654863295401	4.857964876447389	1.0822480345985501
6	real-subtrees	0.032288791520142	4.576307686481551	7.444225403388453	2.00971263215509
6	CNN-subtrees		4.294734927381187	5.588133555667093	2.5777987611633506
6	CNN		4.511586	5.80869032892967	2.6133761530382595
6	FFNN-subtrees		4.192418669060931	5.604609792456343	2.4922634045018586
6	FFNN		4.511586	5.80869032892967	2.6133761530382595
6	real	0.032288791520142	4.57630768648155	7.44422540338845	2.00971263215509
7	CNN-subtrees		2.880176886416544	4.793349843791054	18.36061520604428
7	real	0.31573505363974197	2.93422571137233	4.65107236136891	19.6314123635054
7	FFNN		3.0761309	5.37878835050994	21.4879981386172
7	CNN		3.0761309	5.37878835050994	21.4879981386172
7	FFNN-subtrees		2.8700498751710755	4.752106243001617	18.28079818846333
7	real-subtrees	0.31573505363974197	2.9342257113723296	4.65107236136891	19.6314123635054
8	real-subtrees	0.969111940083884	1.9775520011410708	4.720206796740602	18.3465213657537
8	real	0.969111940083884	1.97755200114107	4.7202067967406	18.3465213657537
8	FFNN		1.9829441000000003	5.6206040612388595	14.6587009872838
8	CNN-subtrees		1.9454415695361325	4.741590191141516	17.448821457596893
8	FFNN-subtrees		1.9604290114241496	4.709098797969982	17.50505879649708
8	CNN		1.9829441000000003	5.6206040612388595	14.6587009872838
9	CNN-subtrees		1.1511179564761571	6.089114644760152	24.48039017459263
9	real-subtrees	0.488340826384015	1.18040544994298	6.04629817569697	24.891265064214096
9	FFNN		1.0792652	6.99506063733676	24.8695492392528
9	FFNN-subtrees		1.160578309537051	6.0209040022671045	24.59913069372715
9	CNN		1.0792652	6.99506063733676	24.8695492392528
9	real	0.488340826384015	1.18040544994298	6.04629817569697	24.8912650642141
10	FFNN-subtrees		2.305467026419119	8.998443778643725	12.685604987661982
10	FFNN		2.2834632000000004	9.96530156025031	11.955006051421002
10	real	0.09722937388652401	2.2674253628172902	9.542159842085098	12.220976398606801
10	real-subtrees	0.09722937388652401	2.2674253628172907	9.542159842085098	12.220976398606801
10	CNN-subtrees		2.2947417404368995	9.164488009366043	12.36604785137222
10	CNN		2.2834632000000004	9.96530156025031	11.955006051421002
11	FFNN		4.063081700000001	7.07055641342872	5.72624668341071
11	real	0.9794623100045531	4.56919357228227	8.59893534439089	5.65168750145494
11	real-subtrees	0.9794623100045532	4.569193572282272	8.59893534439089	5.65168750145494
11	CNN-subtrees		4.245122357085873	7.992844445702042	5.5034960090186695
11	FFNN-subtrees		4.233172754446667	8.10117068587469	5.379943553173899
11	CNN		4.063081700000001	7.07055641342872	5.72624668341071
12	CNN-subtrees		2.3112392450397508	1.8691162272705484	0.9115257204653016
12	real	0.859900914773923	2.2585479965509	1.80470002750226	0.992186161376722
12	real-subtrees	0.859900914773923	2.258547996550901	1.8047000275022604	0.992186161376722
12	FFNN-subtrees		2.299800337422929	1.8607824938961983	0.8877064267991404
12	FFNN		2.1845284	1.80855726966732	0.880473751746328
12	CNN		2.1845284	1.80855726966732	0.880473751746328
13	FFNN		2.990968	8.78683223604618	17.508659707891198
13	real	0.82375001633051	3.2787066250247996	9.47698129018983	18.046665397648102
13	real-subtrees	0.82375001633051	3.2787066250247996	9.476981290189832	18.046665397648106
13	CNN-subtrees		3.421727681857936	9.811859465169967	17.766472738224387
13	FFNN-subtrees		3.441458973270198	9.658339788058834	17.798305093408548
13	CNN		2.990968	8.78683223604618	17.508659707891198
14	CNN		2.146707	6.145314311702111	5.01052839719033
14	real	0.014676794147326	2.3771992733411	8.10354452399305	6.077078517359821
14	FFNN-subtrees		2.418007097715324	7.849195355181438	6.29113629313692
14	FFNN		2.146707	6.145314311702111	5.01052839719033
14	CNN-subtrees		2.50062479411536	7.506270808491356	6.983949998533246
14	real-subtrees	0.014676794147326	2.3771992733411	8.103544523993047	6.077078517359822
15	FFNN		3.1908498	2.86503606373179	5.669787809406049
15	real-subtrees	0.025057708098227	3.8520613122480194	3.34186576530052	7.1937893590756214
15	CNN		3.1908498	2.86503606373179	5.669787809406049
15	real	0.025057708098227	3.8520613122480203	3.34186576530052	7.193789359075621
15	CNN-subtrees		3.7830386064205945	3.24324894025002	6.942545748593514
15	FFNN-subtrees		3.7282056655103006	3.011560384990178	7.0717337174102655
16	CNN-subtrees		3.79801852828578	1.898762603809959	6.499236951526843
16	CNN		3.2122936	1.67991161376625	6.08279749039012
16	FFNN		3.2122936	1.67991161376625	6.08279749039012
16	real	0.129623054853193	3.9949479425892997	1.79149065871374	7.38398069737347
16	FFNN-subtrees		3.873957548275328	1.858539544289572	6.701627489190352
16	real-subtrees	0.129623054853193	3.9949479425893	1.7914906587137398	7.383980697373472
17	real-subtrees	0.758180898887686	1.67504542234068	9.408068157617633	21.790845559297104
17	CNN		1.6062517	9.512003606306608	19.452453336457502
17	real	0.758180898887686	1.67504542234068	9.408068157617631	21.790845559297104
17	FFNN-subtrees		1.6730961144540382	9.38486073039916	21.210521692854424
17	CNN-subtrees		1.6695914820117903	9.329175574372112	21.566751603315677
17	FFNN		1.6062517	9.512003606306608	19.452453336457502
18	real-subtrees	0.638127425862025	3.350149103310839	2.8506096825024505	8.739977543098709
18	CNN-subtrees		3.414507586410301	2.9645951642566617	8.543897106417116
18	CNN		3.1046967999999997	2.48209805824693	9.15840539046265
18	FFNN-subtrees		3.445922724287783	2.8507072570688816	8.768245173836517
18	FFNN		3.1046967999999997	2.48209805824693	9.15840539046265
18	real	0.638127425862025	3.35014910331084	2.8506096825024505	8.739977543098709
19	real-subtrees	0.5576676637930279	4.38306193150078	5.970377421143179	15.802874262190702
19	CNN		3.4658208	4.6242297586089505	16.9563364169565
19	FFNN-subtrees		4.192223101285537	5.8136562067353985	14.578585828513953
19	real	0.5576676637930279	4.38306193150078	5.97037742114318	15.8028742621907
19	FFNN		3.4658208	4.6242297586089505	16.9563364169565
19	CNN-subtrees		4.246568311879134	5.783612280214782	15.024859642870874
20	real-subtrees	0.5988352752009151	2.23882941248729	4.6848778813590615	20.150252377398893
20	CNN		2.2830357999999995	5.44918994283507	18.1143206345778
20	CNN-subtrees		2.2170426787732005	4.90466525880945	18.817507312958497
20	FFNN		2.2830357999999995	5.44918994283507	18.1143206345778
20	FFNN-subtrees		2.2375079500553667	4.832853776862822	19.13046686893118
20	real	0.5988352752009151	2.23882941248729	4.68487788135906	20.1502523773989
21	FFNN		3.7518510000000003	9.241691240056038	20.630866018933002
21	real	0.23075669136252303	4.84630092843636	8.57823430254331	33.9322694028504
21	CNN		3.7518510000000003	9.241691240056038	20.630866018933002
21	CNN-subtrees		4.2920992445494175	8.473361888621723	28.460211336699533
21	real-subtrees	0.23075669136252305	4.84630092843636	8.57823430254331	33.9322694028504
21	FFNN-subtrees		4.2918354139912624	8.440173801333197	28.433353613246712
22	real	0.36006054874133797	1.15322918801059	6.06706834696025	1.5072766216801399
22	real-subtrees	0.36006054874133797	1.1532291880105905	6.067068346960249	1.50727662168014
22	CNN-subtrees		1.1824321114111005	5.276546054179763	2.0202730406322877
22	FFNN		1.1773236	4.08328190808553	3.1467149424991203
22	CNN		1.1773236	4.08328190808553	3.1467149424991203
22	FFNN-subtrees		1.1716053973492442	4.952355097315135	2.1910011187393503
23	real-subtrees	0.359062840569089	4.029825464213491	8.61847006257589	31.70265901433969
23	FFNN		3.5834637000000003	7.4044183838534705	28.8263721347367
23	CNN-subtrees		4.034630253558636	8.871361612660781	30.328566841644783
23	real	0.359062840569089	4.0298254642134905	8.61847006257589	31.702659014339698
23	FFNN-subtrees		3.987544787020784	9.055094443302993	29.467110481474
23	CNN		3.5834637000000003	7.4044183838534705	28.8263721347367
24	FFNN		4.0908723	5.53851634532792	4.851217324464231
24	real	0.7447356683104871	3.9692404250478197	5.741129579712731	4.1433916364608105
24	CNN		4.0908723	5.53851634532792	4.851217324464231
24	real-subtrees	0.7447356683104871	3.96924042504782	5.741129579712732	4.1433916364608105
24	FFNN-subtrees		3.8072841336810974	5.410808239863965	4.0527119590407485
24	CNN-subtrees		3.8441401812808365	5.476592706532958	4.086837325286703
25	CNN		1.1458127	5.457505726521701	8.80624382259594
25	FFNN-subtrees		1.1437661116597593	5.605687332234762	7.9860621453145955
25	real	0.305363243821061	1.14050229224415	5.70262350311393	8.18360677598547
25	CNN-subtrees		1.139705252464157	5.7319053634428565	8.041375435650806
25	FFNN		1.1458127	5.457505726521701	8.80624382259594
25	real-subtrees	0.305363243821061	1.1405022922441497	5.70262350311393	8.183606775985472
26	CNN		2.4588354	5.187188026912231	12.5153262415165
26	real	0.25997681994349	2.3195963941993702	4.94215234992223	12.369233789476098
26	CNN-subtrees		2.3153254248168538	4.929894043365286	12.249900824835331
26	real-subtrees	0.25997681994349	2.3195963941993702	4.94215234992223	12.369233789476096
