	type	p	R0	infectious period
0	real	0.7138461841898159	1.54435149851198	5.98562153347266
0	CNN (large)		1.6308534	6.6567192182645
0	real-subtrees	0.7138461841898159	1.5443514985119802	5.985621533472661
0	FFNN (large)		1.4904006	6.24488269036023
0	FFNN (huge, subtrees)		1.5188680656217357	5.977675161956934
0	CNN (huge, subtrees)		1.2224848583078751	3.2046764760390225
1	real-subtrees	0.226971442014562	3.0669546451073697	4.9977009239441
1	FFNN (large)		2.9673166	4.7620214518922195
1	real	0.22697144201456196	3.06695464510737	4.9977009239441
1	CNN (large)		2.9296842	4.746693965169309
1	CNN (huge, subtrees)		2.433959469913081	5.211040772304778
1	FFNN (huge, subtrees)		3.0890608057842277	5.037344135360611
2	FFNN (large)		2.687273	1.09465870321955
2	real	0.946400661134871	3.10323762055771	1.17698369812521
2	CNN (huge, subtrees)		1.5361958229889978	0.4882725639429321
2	CNN (large)		2.4889522	1.0637431522869
2	real-subtrees	0.946400661134871	3.10323762055771	1.17698369812521
2	FFNN (huge, subtrees)		3.0573123418019414	1.1752758578078193
3	real-subtrees	0.7027744560119599	1.79764495961122	3.02744743372153
3	real	0.7027744560119599	1.79764495961122	3.02744743372153
3	CNN (huge, subtrees)		1.2782795674775043	1.4571436342737445
3	CNN (large)		1.5992296	2.92692346394179
3	FFNN (large)		1.5541762	2.90975013305331
3	FFNN (huge, subtrees)		1.8325342486567884	3.113096062219916
4	FFNN (huge, subtrees)		4.423656239990773	1.4013789039792983
4	CNN (large)		4.1527605	1.36411092925313
4	CNN (huge, subtrees)		2.127427125180671	0.7054636140254472
4	FFNN (large)		4.2559404	1.3708321414276001
4	real-subtrees	0.8551867983111658	4.62653459521771	1.43961511838038
4	real	0.8551867983111658	4.62653459521771	1.43961511838038
5	FFNN (huge, subtrees)		1.0828008043068	3.743220332194984
5	real	0.500478173783044	1.04783876754113	3.64593883004359
5	CNN (huge, subtrees)		1.2439878219733271	2.0597031118219284
5	CNN (large)		1.0435828	3.6110329340373903
5	FFNN (large)		1.0627261000000001	3.55493832150446
5	real-subtrees	0.500478173783044	1.04783876754113	3.6459388300435904
6	real	0.11200220519295	4.26372140933212	7.92791014966463
6	CNN (huge, subtrees)		1.7932812024158555	11.875319945833564
6	CNN (large)		4.272719	7.97490169321429
6	FFNN (huge, subtrees)		4.185702854072947	7.69517755161979
6	FFNN (large)		3.9863315000000004	7.445734511402231
6	real-subtrees	0.11200220519295	4.2637214093321205	7.92791014966463
7	CNN (huge, subtrees)		1.6010839814264086	4.198030959508949
7	real-subtrees	0.894192736598828	2.4553488060590203	7.8426726572942895
7	FFNN (large)		2.9109453999999997	9.021621131143089
7	CNN (large)		2.9252307	9.00398401266076
7	FFNN (huge, subtrees)		2.4661878294376938	7.9312521578610715
7	real	0.894192736598828	2.4553488060590203	7.84267265729429
8	real	0.7425419161350458	3.2853732678734	5.368720855727121
8	real-subtrees	0.7425419161350458	3.2853732678734	5.368720855727121
8	FFNN (large)		3.842957	6.158036564789421
8	CNN (huge, subtrees)		1.7727009362386148	2.8234211298608285
8	FFNN (huge, subtrees)		3.4184493646354843	5.598066709880801
8	CNN (large)		3.9283307	6.22577348424846
9	CNN (huge, subtrees)		1.9170687701268536	6.826902308198777
9	real	0.035152625079795996	2.09651107868451	1.9531236378509098
9	FFNN (large)		1.9137205000000002	1.63602518527999
9	FFNN (huge, subtrees)		2.086440890647504	1.8647536733808387
9	CNN (large)		1.9811047	1.7671884925014298
9	real-subtrees	0.035152625079796	2.09651107868451	1.9531236378509096
10	FFNN (huge, subtrees)		4.441712726524164	7.581659741083096
10	FFNN (large)		4.2748870000000005	7.42988729255518
10	real-subtrees	0.085674551937519	4.6544535501597695	8.091749674660731
10	real	0.085674551937519	4.6544535501597695	8.091749674660731
10	CNN (huge, subtrees)		1.324342326977258	10.670333365068352
10	CNN (large)		4.420039	7.7713977425881895
11	FFNN (large)		2.777658	5.16327717698171
11	real-subtrees	0.330380394322641	2.71538349821257	5.2481839332354285
11	real	0.330380394322641	2.71538349821257	5.248183933235429
11	CNN (huge, subtrees)		1.8138009175353258	4.087754287871942
11	FFNN (huge, subtrees)		2.7396941293634685	5.305964756417051
11	CNN (large)		2.9106400000000003	5.35214470842256
12	CNN (huge, subtrees)		2.078402744646552	3.7074018061995937
12	real-subtrees	0.283835707112732	3.00801185284366	4.2286713059046
12	real	0.283835707112732	3.00801185284366	4.2286713059046
12	FFNN (huge, subtrees)		3.072489225677788	4.27894470499165
12	FFNN (large)		2.618671	3.9700247980866403
12	CNN (large)		2.7034862	4.11269476986642
13	FFNN (large)		2.4510531	2.70355296561618
13	real-subtrees	0.770280898065093	2.82341811177052	2.9836375136179503
13	real	0.770280898065093	2.82341811177052	2.9836375136179503
13	CNN (huge, subtrees)		1.5955516105719147	1.5447823541911223
13	FFNN (huge, subtrees)		2.865489312809308	3.0501412263411725
13	CNN (large)		2.4217925	2.71927335349879
14	CNN (large)		2.9112052999999998	8.12683272633607
14	real-subtrees	0.277224428901651	3.1416901516015003	8.88796491689968
14	FFNN (huge, subtrees)		3.335207818694364	9.30657640107034
14	FFNN (large)		2.8010025	7.87109643212065
14	CNN (huge, subtrees)		2.4379684611716947	8.349930677259476
14	real	0.277224428901651	3.1416901516015	8.88796491689968
15	FFNN (large)		3.5376038999999997	5.89676363463408
15	real	0.724292616287037	2.90017511883097	5.13370738677708
15	CNN (large)		3.9293911	6.2848312199950005
15	real-subtrees	0.724292616287037	2.90017511883097	5.13370738677708
15	CNN (huge, subtrees)		1.6961749387326748	2.643669704503602
15	FFNN (huge, subtrees)		2.9731423217382726	5.233767643887658
16	CNN (huge, subtrees)		2.4025463881583904	6.049596624277613
16	CNN (large)		4.218672799999999	9.066280435425732
16	FFNN (large)		4.1750374	8.969676164383511
16	real-subtrees	0.422165851865856	4.04023486700329	8.61952730006907
16	FFNN (huge, subtrees)		3.9561783498220713	8.478276028519879
16	real	0.42216585186585603	4.04023486700329	8.61952730006907
17	real	0.5995157126876539	3.81185795053204	8.6375685660167
17	CNN (large)		4.3934684	9.572283427266491
17	real-subtrees	0.5995157126876539	3.81185795053204	8.6375685660167
17	FFNN (huge, subtrees)		3.874081887872765	8.820163818752821
17	CNN (huge, subtrees)		1.972432186696205	4.951458868023526
17	FFNN (large)		3.9871397000000006	9.2097962679485
18	real	0.02338126874754	4.23464373229614	4.0365257759333195
18	CNN (huge, subtrees)		1.3729953548558809	8.878831248025637
18	CNN (large)		4.220064	3.9713571670878305
18	FFNN (huge, subtrees)		4.089676989788928	3.7992112058289833
18	FFNN (large)		4.285410400000001	3.8343110898896198
18	real-subtrees	0.02338126874754	4.23464373229614	4.03652577593332
19	real	0.100919852550092	4.03874323222435	9.034788024231789
19	CNN (large)		3.944346	8.93976910846098
19	FFNN (huge, subtrees)		3.915278431402241	8.689917174597335
19	real-subtrees	0.100919852550092	4.03874323222435	9.034788024231787
19	FFNN (large)		4.1920133	9.20542224283618
19	CNN (huge, subtrees)		1.984273102646375	13.795052009213538
20	real	0.896327762846888	2.8578838654817003	4.2138399249790695
20	CNN (large)		2.5007327	3.9403666200265497
20	CNN (huge, subtrees)		1.4763235225777562	1.9165377101738943
20	FFNN (large)		2.5793633	3.98793855444318
20	FFNN (huge, subtrees)		2.9144941360299748	4.293744683870946
20	real-subtrees	0.896327762846888	2.8578838654817003	4.2138399249790695
21	FFNN (large)		3.6165037000000004	3.0191890277453703
21	real-subtrees	0.025286056003945	4.161371286840391	3.66448714258367
21	CNN (large)		3.7969842000000003	3.21951970849607
21	CNN (huge, subtrees)		1.596703917907102	8.392298445912065
21	real	0.025286056003945	4.16137128684039	3.66448714258367
21	FFNN (huge, subtrees)		3.89653954454494	3.341013625874261
22	real-subtrees	0.34934239144273	1.6322776948360198	4.93586505177383
22	real	0.34934239144273	1.6322776948360198	4.93586505177383
22	CNN (huge, subtrees)		1.2769035470776962	2.8418525403294086
22	FFNN (large)		1.8071152	5.39375629178969
22	CNN (large)		1.7962743000000003	5.4426516876841795
22	FFNN (huge, subtrees)		1.6387018675468503	4.916943256829891
23	real	0.46819180008157	2.58055722874208	2.12115057891996
23	FFNN (large)		2.2146506	1.91880881730686
23	CNN (huge, subtrees)		1.6014989688560632	1.2681690540718362
23	real-subtrees	0.46819180008157	2.58055722874208	2.12115057891996
23	FFNN (huge, subtrees)		2.6340894651418494	2.156827678902642
23	CNN (large)		2.1519747000000002	1.88842845553462
24	FFNN (large)		4.227308799999999	9.23176965146086
24	real-subtrees	0.4490463198435429	3.96710710757098	9.2242079063191
24	CNN (large)		4.0047417	8.91668726129881
24	real	0.44904631984354293	3.96710710757098	9.2242079063191
24	FFNN (huge, subtrees)		3.991009444024365	9.259904557093435
24	CNN (huge, subtrees)		2.3029187805614444	6.574410277162577
25	CNN (large)		1.4674503	3.6975546271725
25	FFNN (huge, subtrees)		1.6537273914765214	3.973574287842607
25	real-subtrees	0.606129942099629	1.6766384822713798	4.0188721562711605
25	CNN (huge, subtrees)		1.2310031491929616	2.130617894022666
25	FFNN (large)		1.4219258	3.6872140944621097
25	real	0.606129942099629	1.6766384822713798	4.0188721562711605
26	CNN (large)		3.4530013	6.32492651539513
26	real-subtrees	0.896669786783563	3.11210203160174	6.0008699028446015
26	CNN (huge, subtrees)		1.6062687237406144	2.5084065600431
26	real	0.896669786783563	3.11210203160174	6.0008699028446
26	FFNN (large)		3.5453358	6.3640071573079595
26	FFNN (huge, subtrees)		3.079628899730125	5.947232601310831
27	CNN (large)		2.0343359	4.357717857753499
27	CNN (huge, subtrees)		1.3823452594257573	2.5689255085828377
27	FFNN (large)		2.0112147	4.36839516452582
27	real	0.576818095823197	2.15941281293472	4.80800105395825
27	FFNN (huge, subtrees)		2.1492373237944253	4.827441031080796
27	real-subtrees	0.576818095823197	2.15941281293472	4.808001053958249
28	real	0.28504832324619706	1.18723425824681	3.6492965495323197
28	CNN (large)		1.1282546999999998	3.4318271937372202
28	FFNN (large)		1.1676189	3.6974583941516
28	CNN (huge, subtrees)		1.1691067962979946	1.8227119691788976
28	FFNN (huge, subtrees)		1.1755387070230192	3.6275696756016713
28	real-subtrees	0.28504832324619706	1.18723425824681	3.64929654953232
29	FFNN (large)		1.2377303999999998	3.74106223724936
29	CNN (large)		1.2424883	3.69045706169402
29	real-subtrees	0.061580032956564015	1.31368884869009	4.17890301151514
29	real	0.06158003295656401	1.31368884869009	4.17890301151514
29	CNN (huge, subtrees)		1.2623020133828078	5.874119004125228
29	FFNN (huge, subtrees)		1.3281821522288435	4.250746753486629
30	CNN (large)		2.219818	5.60286804029881
30	CNN (huge, subtrees)		1.5625381976697401	3.1293824557154064
30	FFNN (huge, subtrees)		2.6131220590725217	6.237190843018308
30	real	0.7327236746184841	2.62861487930232	6.268100254640629
30	real-subtrees	0.7327236746184841	2.62861487930232	6.268100254640629
30	FFNN (large)		2.3599137999999997	5.81535223038457
31	FFNN (huge, subtrees)		2.6314920429450237	6.811249662115872
31	real	0.561534464496612	2.66412187436011	6.91953312444903
31	CNN (large)		2.5567892000000003	6.3906213417994
