	type	p	R_naught	infectious_period	incubation_time
0	real-subtrees	0.447322979907068	2.34129521938888	1.64756834145495	1.36992889477116
0	CNN		2.1211965	1.50499366579465	1.3265337975160099
0	FFNN		2.1211965	1.50499366579465	1.3265337975160099
0	CNN-subtrees		2.380379676818848	1.5345431566238403	1.3390588760375977
0	real	0.447322979907068	2.34129521938888	1.64756834145495	1.36992889477116
0	FFNN-subtrees		2.52698302268982	1.5866295099258425	1.354786396026611
0	BEAST2		2.26945994743363	1.6411408038809099	1.2804941305353101
1	CNN		3.2002650000000004	3.1515233274575603	4.3307140011560605
1	BEAST2		3.2682440431525803	3.2763869737786298	4.17950985159761
1	real-subtrees	0.6225767763228239	3.3684089866500497	3.71345840136623	3.96239667724268
1	FFNN-subtrees		3.0944924354553223	2.7401137351989746	4.869176387786865
1	CNN-subtrees		3.147617816925049	2.919510126113892	4.582887649536133
1	FFNN		3.2002650000000004	3.1515233274575603	4.3307140011560605
1	real	0.6225767763228239	3.3684089866500497	3.71345840136623	3.96239667724268
2	BEAST2		4.32662684174412	8.52250503498336	34.9700367938886
2	CNN-subtrees		3.779720067977905	8.563730239868164	27.713947296142575
2	CNN		4.487149700000001	8.68400171309773	34.4531462310742
2	real	0.997036566631611	3.90961894078582	7.83229215772936	33.006439091525
2	FFNN-subtrees		3.617043495178223	8.84991455078125	26.85895919799805
2	real-subtrees	0.997036566631611	3.90961894078582	7.83229215772936	33.006439091525
2	FFNN		4.487149700000001	8.68400171309773	34.4531462310742
3	CNN		4.184746700000001	2.19902229232144	8.312243391927261
3	real-subtrees	0.8293398478248979	3.99018693635541	2.3660999627382098	8.305388994870441
3	FFNN-subtrees		4.284417629241943	2.1219656467437744	8.503500938415527
3	BEAST2		3.0	5.5	25.1
3	real	0.8293398478248979	3.99018693635541	2.3660999627382098	8.305388994870441
3	FFNN		4.184746700000001	2.19902229232144	8.312243391927261
3	CNN-subtrees		4.2449560165405265	2.1061065196990967	8.154849052429201
4	FFNN		1.8918337	6.6191211097441895	23.4519652538249
4	BEAST2		1.9300180029822498	6.479290137815941	23.844907497023396
4	real	0.6549452351128721	1.83993658224913	7.014782251317482	21.380250288025998
4	CNN-subtrees		1.9331246614456177	6.442049026489258	23.039873123168945
4	real-subtrees	0.6549452351128721	1.83993658224913	7.014782251317482	21.380250288025998
4	FFNN-subtrees		1.9807945489883425	6.618906497955322	23.562856674194336
4	CNN		1.8918337	6.6191211097441895	23.4519652538249
5	real	0.4271495730639	1.39576548632954	4.857964876447388	1.08224803459855
5	FFNN-subtrees		1.3717117309570312	3.968308448791504	1.7871918678283691
5	BEAST2		1.3812631485238	5.283290423256781	0.924667122547999
5	CNN-subtrees		1.362032771110535	4.0523414611816415	1.6920529603958132
5	real-subtrees	0.4271495730639	1.39576548632954	4.857964876447388	1.08224803459855
5	FFNN		1.382581	4.41422234116167	1.42138331642254
5	CNN		1.382581	4.41422234116167	1.42138331642254
6	FFNN		4.511586	5.80869032892967	2.6133761530382595
6	FFNN-subtrees		4.457841873168945	5.645740509033202	2.4334850311279297
6	real	0.032288791520142	4.57630768648155	7.44422540338845	2.00971263215509
6	real-subtrees	0.032288791520142	4.57630768648155	7.44422540338845	2.00971263215509
6	CNN-subtrees		4.426027297973633	5.12042236328125	2.85501766204834
6	CNN		4.511586	5.80869032892967	2.6133761530382595
6	BEAST2		4.5118387528331105	8.53522343860127	1.41162422076747
7	CNN		3.0761309	5.37878835050994	21.4879981386172
7	FFNN-subtrees		3.1842470169067383	5.493617534637451	20.277587890625
7	real-subtrees	0.315735053639742	2.93422571137233	4.65107236136891	19.6314123635054
7	CNN-subtrees		3.107445240020752	5.382468223571777	20.82106208801269
7	BEAST2		3.2277455432474302	5.320206263644111	21.455692524417
7	FFNN		3.0761309	5.37878835050994	21.4879981386172
