	type	p	R0	infectious period	incubation time
0	real-subtrees	0.690608165097712	1.50825624913641	7.499844304527481	14.004161469153301
0	CNN		1.175612	6.4032643264028	9.401126178915131
0	real	0.690608165097712	1.50825624913641	7.499844304527481	14.004161469153301
0	FFNN		1.2123513000000001	5.98727316986683	9.686381870785711
0	FFNN (on large)		1.2579366	6.204858695594	9.64978275946974
0	CNN (on large)		1.0897434	5.431520749840259	9.999770237062961
1	real	0.705130993749746	1.3396011450664098	3.3617650695822996	14.4933280532374
1	FFNN		1.3910424	2.95110334109596	12.3571012089689
1	real-subtrees	0.705130993749746	1.3396011450664098	3.3617650695822996	14.4933280532374
1	CNN		1.3043148999999998	2.8922278563389	12.084121084513098
1	CNN (on large)		1.0333603999999998	3.0463282216544902	10.746050659112301
1	FFNN (on large)		1.275513	2.40127605548648	10.827474285076699
2	FFNN		3.5570964999999997	2.92743806413278	10.787745468541901
2	real-subtrees	0.894384713226438	3.701291065685	2.65491594310312	11.3317779876414
2	CNN (on large)		2.5510577999999997	2.9029311805798597	9.978180422791999
2	CNN		3.6826470000000002	2.76349913935106	10.941608276723098
2	real	0.894384713226438	3.701291065685	2.65491594310312	11.3317779876414
2	FFNN (on large)		2.825498	2.68884153308645	9.784775415935359
3	real	0.511647850555602	3.2278359108188397	7.32892010353431	20.870672912818197
3	real-subtrees	0.511647850555602	3.2278359108188397	7.32892010353431	20.870672912818197
3	CNN (on large)		2.5338807	7.1472125037045	20.159668417202603
3	CNN		3.4164937000000006	7.55173382680525	25.4586295527336
3	FFNN		3.4044933	6.94844314179045	26.0055226517951
3	FFNN (on large)		2.9738488	6.5643916833221	23.2857313195512
4	FFNN (on large)		2.5813832000000003	5.530974551934889	16.6002930896115
4	CNN		2.8945282000000003	5.3938694266569005	19.4819376868709
4	CNN (on large)		2.7482457	5.35416983367331	19.2233603940284
4	FFNN		2.7195362999999997	5.7768716752863805	17.919501795082603
4	real	0.656965257872702	3.1561416121513903	5.718285084702011	25.426566462261
4	real-subtrees	0.656965257872702	3.1561416121513903	5.718285084702011	25.426566462261
