	type	p	R0	infectious period
0	real-subtrees	0.305336903275534	1.34851665958435	3.3974940297602796
0	CNN-CBLV		1.3205523000000001	3.59502010543562
0	real	0.305336903275534	1.34851665958435	3.3974940297602796
0	FFNN-SS		1.2829173	3.53614473979805
0	FFNN-SS (trained on large trees)		1.2527492	3.52745938487867
0	CNN-CBLV (trained on large trees)		1.0763236999999999	2.99963830777231
1	real	0.47761414865560703	1.84018694943678	5.824068839038969
1	FFNN-SS		1.7648944	5.60076336601395
1	real-subtrees	0.47761414865560703	1.84018694943678	5.824068839038969
1	CNN-CBLV		1.6378968	5.41799741421817
1	CNN-CBLV (trained on large trees)		1.1822746000000002	4.0323438895844195
1	FFNN-SS (trained on large trees)		1.6384976999999998	5.35303252711833
2	FFNN-SS		2.647247	4.30594707339698
2	real-subtrees	0.128144811852249	2.9830957908112095	4.9168209486174
2	CNN-CBLV (trained on large trees)		2.406586	3.9822807615759506
2	CNN-CBLV		2.4950924	4.21930192359964
2	real	0.128144811852249	2.9830957908112095	4.9168209486174
2	FFNN-SS (trained on large trees)		2.6031566	4.23048167225846
3	real	0.657294059410709	3.0537551732861097	7.8364900759291505
3	real-subtrees	0.657294059410709	3.0537551732861097	7.8364900759291505
3	CNN-CBLV (trained on large trees)		2.1283364	6.10731007737447
3	CNN-CBLV		2.3279822	6.604187393903491
3	FFNN-SS		2.2979567000000003	6.48565814675743
3	FFNN-SS (trained on large trees)		2.3157682	6.5339872782436705
4	FFNN-SS (trained on large trees)		3.725051	8.59447267929181
4	CNN-CBLV		4.0395856	9.09901399362518
4	CNN-CBLV (trained on large trees)		3.7682962	8.57263867105871
4	FFNN-SS		3.8088347999999996	8.707216710127799
4	real	0.37527641629885294	4.16620178417517	9.41302683776966
4	real-subtrees	0.37527641629885294	4.16620178417517	9.41302683776966
5	FFNN-SS (trained on large trees)		4.551246	4.291586009905441
5	real-subtrees	0.787822166776593	4.94748680539198	4.48674714860209
5	CNN-CBLV (trained on large trees)		4.3716669999999995	4.23079122733527
5	CNN-CBLV		4.360068	4.23369204758768
5	FFNN-SS		4.482507	4.21230872663105
5	real	0.787822166776593	4.94748680539198	4.48674714860209
6	real-subtrees	0.817023036831508	4.704611396830559	9.87853646709591
6	CNN-CBLV (trained on large trees)		3.3283432	8.0255321006871
6	CNN-CBLV		3.8774142	8.945984551526099
6	FFNN-SS (trained on large trees)		3.7874732000000004	8.692204777197489
6	FFNN-SS		3.8227157999999997	8.78681298417717
6	real	0.817023036831508	4.704611396830559	9.87853646709591
7	CNN-CBLV (trained on large trees)		3.3432887000000004	3.0808012823067794
7	real	0.9022299594561229	4.62745485775577	2.95383189702402
7	FFNN-SS		4.298649	2.77658540217175
7	CNN-CBLV		4.346636	2.79587635847435
7	FFNN-SS (trained on large trees)		3.4548159	2.52623408265377
7	real-subtrees	0.9022299594561229	4.62745485775577	2.95383189702402
8	real-subtrees	0.183757516034557	3.5987476732593	7.015670173219809
8	real	0.183757516034557	3.5987476732593	7.015670173219809
8	FFNN-SS		3.0365016	5.390209187404209
8	CNN-CBLV (trained on large trees)		2.7974862999999996	5.14213792189044
8	FFNN-SS (trained on large trees)		3.0191145	5.386070014771001
8	CNN-CBLV		2.8124987999999997	5.06382615605159
9	CNN-CBLV (trained on large trees)		4.139693	3.59759687276981
9	real-subtrees	0.807049222443158	4.18230779327756	3.4965344422594202
9	FFNN-SS		4.104235	3.58824179248341
9	FFNN-SS (trained on large trees)		4.1485744	3.5820247508735603
9	CNN-CBLV		4.1303086	3.58412417029787
9	real	0.807049222443158	4.18230779327756	3.4965344422594202
10	FFNN-SS (trained on large trees)		3.06714	10.910951651999099
10	FFNN-SS		3.0457932999999997	10.923764596747999
10	real	0.42338274686115795	2.49382640290312	9.239330678665368
10	real-subtrees	0.42338274686115795	2.49382640290312	9.239330678665368
10	CNN-CBLV (trained on large trees)		2.9951122000000003	10.7011671172812
10	CNN-CBLV		3.0437362	10.891470497098
11	FFNN-SS		1.0616455	2.62935677772815
11	real	0.582944512947705	1.1641419177656298	2.7370426915919306
11	real-subtrees	0.582944512947705	1.1641419177656298	2.7370426915919306
11	CNN-CBLV (trained on large trees)		1.1116486	2.62441024279154
11	FFNN-SS (trained on large trees)		1.0731852	2.6295400700090603
11	CNN-CBLV		1.1178731000000002	2.6813815565319703
12	CNN-CBLV (trained on large trees)		2.3642056	1.56635861779997
12	real	0.6609998744039921	2.3707341121295	1.54280581448465
12	real-subtrees	0.6609998744039921	2.3707341121295	1.54280581448465
12	FFNN-SS (trained on large trees)		2.1634192000000003	1.4730071748581397
12	FFNN-SS		2.6264336	1.71692983703493
12	CNN-CBLV		2.7623527	1.78003294344773
13	FFNN-SS		2.7197424999999997	5.615220939496679
13	real	0.226256349336043	2.56536866719854	5.72597535917254
13	real-subtrees	0.226256349336043	2.56536866719854	5.72597535917254
13	CNN-CBLV (trained on large trees)		1.38204	3.34247973168872
13	FFNN-SS (trained on large trees)		1.8028128	4.30772608712521
13	CNN-CBLV		2.4355835999999997	5.28666782029679
14	CNN-CBLV		3.647443	7.5788825254517995
14	real	0.8469259554616949	2.98157555622091	6.7609129616892005
14	FFNN-SS (trained on large trees)		2.8638425	6.36173859734437
14	FFNN-SS		3.5915873	7.53626430687925
14	CNN-CBLV (trained on large trees)		3.636048	7.97710991186384
14	real-subtrees	0.8469259554616949	2.98157555622091	6.7609129616892005
15	FFNN-SS		2.4817016	5.27150748781486
15	real-subtrees	0.011233378962991	2.25568952840125	4.49073242942416
15	CNN-CBLV		2.1277246	4.24686905903698
15	real	0.011233378962991	2.25568952840125	4.49073242942416
15	CNN-CBLV (trained on large trees)		1.5355148	3.1445733782637997
15	FFNN-SS (trained on large trees)		2.125554	4.831532567582269
16	CNN-CBLV (trained on large trees)		2.7632842	4.81024211787463
16	CNN-CBLV		3.3591309999999996	5.49264971262751
16	FFNN-SS		3.4331139999999998	5.64243608503919
16	real	0.40736907272958	3.1514095674948197	5.29269186333005
16	FFNN-SS (trained on large trees)		3.310339	5.453598095285719
16	real-subtrees	0.40736907272958	3.1514095674948197	5.29269186333005
17	real-subtrees	0.13820749952770098	4.01866960083562	4.46105928338382
17	CNN-CBLV		4.1611843	4.803501939646111
17	real	0.13820749952770098	4.01866960083562	4.46105928338382
17	FFNN-SS (trained on large trees)		3.2548232000000006	4.10049335248432
17	CNN-CBLV (trained on large trees)		3.7947361000000006	4.2745623603128
17	FFNN-SS		4.2656089999999995	4.88185186187725
18	real-subtrees	0.626204849642386	2.3358857218635602	7.1947222018995705
18	CNN-CBLV (trained on large trees)		1.3745215	4.63488384223566
18	CNN-CBLV		2.0626993000000002	6.50005099866574
18	FFNN-SS (trained on large trees)		2.0460317	6.34127480684074
18	FFNN-SS		2.1042044	6.543736043178559
18	real	0.626204849642386	2.3358857218635602	7.1947222018995705
19	real-subtrees	0.26868015590301997	3.00360761410896	9.60484877009891
19	CNN-CBLV		3.6000351999999998	11.964799806777199
19	FFNN-SS (trained on large trees)		3.566121	11.4940201629967
19	real	0.26868015590301997	3.00360761410896	9.60484877009891
19	FFNN-SS		3.5482660000000004	11.565469685477
19	CNN-CBLV (trained on large trees)		3.2008967	10.855292524661698
20	real-subtrees	0.6990373064964879	2.26472222793925	9.86418225716325
20	CNN-CBLV		2.3214011	8.90236748450906
20	CNN-CBLV (trained on large trees)		1.4361947	6.707901900408451
20	FFNN-SS		2.3162048	8.77978826936168
20	FFNN-SS (trained on large trees)		2.2196555	8.37197069321199
