	type	p	R_naught	infectious_period
0	real-subtrees	0.7138461841898159	1.54435149851198	5.98562153347266
0	CNN		1.6308534	6.6567192182645
0	FFNN		1.6308534	6.6567192182645
0	CNN-subtrees		1.6368705	6.757892999999999
0	real	0.7138461841898159	1.54435149851198	5.98562153347266
0	FFNN-subtrees		1.6187444	6.609995
0	BEAST2		1.5408166630000002	6.323185186
1	CNN		2.9296842	4.746693965169309
1	BEAST2		2.9767301280000003	4.7660152469999995
1	real-subtrees	0.226971442014562	3.06695464510737	4.9977009239441
1	FFNN-subtrees		3.2431102000000003	5.168528599999999
1	CNN-subtrees		3.2564017999999995	5.082698000000001
1	FFNN		2.9296842	4.746693965169309
1	real	0.226971442014562	3.06695464510737	4.9977009239441
2	BEAST2		2.7757626839999996	1.120154867
2	CNN-subtrees		2.738028	1.2058275
2	CNN		2.4889522	1.0637431522869
2	real	0.946400661134871	3.10323762055771	1.17698369812521
2	FFNN-subtrees		2.5582013	1.1522646
2	real-subtrees	0.946400661134871	3.10323762055771	1.17698369812521
2	FFNN		2.4889522	1.0637431522869
3	CNN		1.5992296	2.92692346394179
3	real-subtrees	0.7027744560119599	1.79764495961122	3.02744743372153
3	FFNN-subtrees		1.6631035	2.9433327
3	BEAST2		1.587350297	2.910538217
3	real	0.7027744560119599	1.79764495961122	3.02744743372153
3	FFNN		1.5992296	2.92692346394179
3	CNN-subtrees		1.5763032	2.840015
4	FFNN		4.1527605	1.36411092925313
4	BEAST2		4.2813096989999995	1.372639989
4	real	0.8551867983111658	4.62653459521771	1.43961511838038
4	CNN-subtrees		3.6361237	1.2543862
4	real-subtrees	0.8551867983111658	4.62653459521771	1.43961511838038
4	FFNN-subtrees		3.5213267999999998	1.2435106000000002
4	CNN		4.1527605	1.36411092925313
5	real	0.500478173783044	1.04783876754113	3.64593883004359
5	FFNN-subtrees		1.0474383	3.5754627999999995
5	BEAST2		1.075519104	3.5899762930000003
5	CNN-subtrees		1.0644573999999998	3.5466511
5	real-subtrees	0.500478173783044	1.04783876754113	3.64593883004359
5	FFNN		1.0435828	3.6110329340373903
5	CNN		1.0435828	3.6110329340373903
6	FFNN		4.272719	7.97490169321429
6	FFNN-subtrees		4.034679	7.4728837
6	real	0.11200220519295	4.26372140933212	7.92791014966463
6	real-subtrees	0.11200220519295	4.26372140933212	7.92791014966463
6	CNN-subtrees		3.8153496	7.227778999999999
6	CNN		4.272719	7.97490169321429
6	BEAST2		3.9984750669999998	7.515749605
7	CNN		2.9252307	9.00398401266076
7	FFNN-subtrees		2.8054740000000002	8.595562
7	real-subtrees	0.894192736598828	2.4553488060590203	7.84267265729429
7	CNN-subtrees		2.651896	8.18325
7	BEAST2		2.926220577	8.954731996
7	FFNN		2.9252307	9.00398401266076
7	real	0.894192736598828	2.4553488060590203	7.84267265729429
8	BEAST2		3.842864268	6.15871359
8	CNN		3.9283307	6.22577348424846
8	FFNN-subtrees		4.1216025	6.5952344
8	real-subtrees	0.7425419161350458	3.2853732678734	5.368720855727121
8	real	0.7425419161350458	3.2853732678734	5.368720855727121
8	CNN-subtrees		4.327129	6.611722
8	FFNN		3.9283307	6.22577348424846
9	BEAST2		1.936515942	1.713501809
9	CNN-subtrees		2.229091	2.1420789
9	real-subtrees	0.035152625079796	2.09651107868451	1.9531236378509096
9	real	0.035152625079796	2.09651107868451	1.9531236378509096
9	CNN		1.9811047	1.7671884925014298
9	FFNN		1.9811047	1.7671884925014298
9	FFNN-subtrees		2.238969	2.0514483
10	CNN-subtrees		4.2424935999999995	7.6479683000000005
10	real	0.085674551937519	4.6544535501597695	8.091749674660731
10	BEAST2		4.267912766	7.522965232000001
10	FFNN-subtrees		4.458911	7.874306
10	real-subtrees	0.085674551937519	4.6544535501597695	8.091749674660731
10	CNN		4.420039	7.7713977425881895
10	FFNN		4.420039	7.7713977425881895
11	BEAST2		2.8225107639999996	5.232048471000001
11	CNN		2.9106400000000003	5.35214470842256
11	CNN-subtrees		2.8551578999999996	5.1799230000000005
11	FFNN		2.9106400000000003	5.35214470842256
11	real	0.330380394322641	2.71538349821257	5.2481839332354285
11	real-subtrees	0.330380394322641	2.71538349821257	5.2481839332354285
11	FFNN-subtrees		2.867595	5.236416
12	CNN		2.7034862	4.11269476986642
12	FFNN		2.7034862	4.11269476986642
12	real	0.283835707112732	3.00801185284366	4.2286713059046
12	real-subtrees	0.283835707112732	3.00801185284366	4.2286713059046
12	BEAST2		2.638930507	4.0055927030000005
12	CNN-subtrees		2.9301445	4.3458996
12	FFNN-subtrees		2.841489	4.3134255
13	FFNN-subtrees		2.4049609	2.7135837000000005
13	CNN		2.4217925	2.71927335349879
13	CNN-subtrees		2.3138737999999996	2.7102817999999997
13	BEAST2		2.498942903	2.7141062239999996
